Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;MATERIAIS FLUTUANTES;Materiais flutuantes;P/A;;0.0001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;MERCURIO TOTAL;Mercúrio total;mg/L;;0.0002;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;METOLACLORO;Metolacloro;µg/L;;10;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;METOXICLORO;Metoxicloro;µg/L;;0.03;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;NIQUEL TOTAL;Níquel total;mg/L;;0.025;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;NITRATO COMO N;Nitrato como N;mg/L;;10;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;NITRITO COMO N;Nitrito como N;mg/L;;1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ODOR;Substâncias que comuniquem gosto ou odor;P/A;;0.001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;OLEOS E GRAXAS VISIVEIS;Óleos e Graxas visíveis;P/A;;0;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;OXIGENIO DISSOLVIDO;Oxigênio dissolvido;mg/L;6;;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;P,P-DDT + P,P-DDD + P,P-DDE;DDT (p.p'-DDT + p.p'-DDE + p.p'-DDD);µg/L;;0.002;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;PARATION;Paration;µg/L;;0.04;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;PCBS;PCB´s - Bifenilas Policloradas;µg/L;;0.001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;PENTACLOROFENOL;Pentaclorofenol;mg/L;;0.009;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;PH;pH;-;6;9;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;PRATA TOTAL;Prata total;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;RESIDUOS SOLIDOS OBJETAVEIS;Resíduos sólidos objetáveis;P/A;;0.5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;SELENIO TOTAL;Selênio total;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;SIMAZINA;Simazina;µg/L;;2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;SOLIDOS DISSOLVIDOS TOTAIS;Sólidos dissolvidos totais;mg/L;;500;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;SUBSTANCIAS TENSOATIVAS;Substâncias tensoativas;mg/L;;0.5;
